puma,sex,age,educ,income,latino,black,asian,married
65423,0,69,7,8000,0,1,0,0
64407,0,61,10,96270,0,0,0,1
66702,1,50,10,8100,0,0,0,0
62002,0,47,9,1100,0,0,0,0
64300,1,72,9,5600,0,1,0,0
62201,0,20,11,0,0,0,1,0
64200,0,19,3,18700,1,0,0,0
61506,0,23,12,1200,0,0,0,1
66124,1,34,10,17700,1,0,0,1
65424,1,31,9,450,1,0,0,0
67605,0,31,11,60000,0,0,0,0
68105,1,43,10,29000,0,1,0,1
67200,0,42,15,104000,0,0,0,0
65701,1,39,9,33500,0,0,0,0
68104,0,22,11,4000,1,0,0,0
68113,1,26,9,8300,0,0,1,0
65100,0,36,1,0,1,0,0,0
61902,1,35,9,3600,1,0,0,1
68105,1,46,3,11000,1,0,0,0
61302,1,78,9,5000,0,0,0,0
66701,0,48,12,42220,0,0,0,1
62406,1,53,9,76000,0,0,0,1
64401,0,21,9,16000,1,0,0,0
62303,1,75,9,17600,0,0,0,0
67604,0,29,6,17900,1,0,0,1
65410,0,64,15,365000,0,0,0,1
62103,1,33,11,28500,0,1,0,0
62801,1,64,13,35550,0,0,0,0
62104,1,53,13,120000,0,0,0,1
63100,1,78,11,6700,0,0,0,1
62602,1,38,7,1200,0,0,0,0
65404,0,29,9,1700,1,0,0,0
60600,0,79,15,0,0,0,0,0
66802,0,34,4,17000,1,0,0,1
64405,1,70,9,13900,0,0,0,0
68004,0,52,12,62000,0,0,0,0
60900,0,41,9,21800,0,0,0,1
65300,0,37,3,7000,1,0,0,0
62304,0,49,10,50000,0,1,0,0
66802,1,49,3,18120,1,0,0,1
63002,1,21,3,2800,1,0,0,1
65406,0,40,11,8000,1,0,0,0
65414,0,29,13,3000,0,0,1,0
64700,1,18,10,7200,0,0,0,0
60900,0,35,8,24000,1,0,0,1
68105,1,29,11,25000,0,1,0,0
67900,0,37,9,0,0,0,0,0
62707,0,48,13,90000,0,0,1,1
65417,0,63,2,7800,1,0,0,1
62409,0,46,13,325000,0,0,0,1
65405,0,62,11,65000,0,0,0,0
65403,0,57,3,13500,1,0,0,1
63301,0,58,11,26000,0,0,0,1
62401,1,35,14,12000,0,0,1,1
68003,0,24,9,5000,1,0,0,0
66113,0,27,9,17000,1,0,0,1
66124,1,85,4,10600,0,1,0,0
67700,0,59,11,22300,0,0,0,1
62401,0,29,4,19500,0,0,0,0
68116,0,69,6,8000,0,0,0,0
63903,0,75,13,150500,0,0,0,1
65404,0,27,3,18900,1,0,0,1
67900,0,21,11,11000,1,0,0,0
68104,1,34,9,800,1,0,0,1
66104,1,64,10,4500,1,0,0,1
66121,1,75,13,126900,0,0,0,0
64700,0,31,9,70000,0,0,0,1
62710,1,20,9,10400,1,0,0,0
62408,1,24,13,45000,0,0,1,0
65411,1,19,11,1000,0,0,0,0
